new_main_category,tag,sentiment,term,score,review_count,word_count
Bodycare,Packaging,positive,hours,0.018797795,5639,50
Bodycare,Packaging,positive,reef,0.017465231,5639,50
Bodycare,Packing,negative,protection,0.195458842,396,50
Bodycare,Packing,negative,used,0.070790278,396,50
Bodycare,Packing,negative,damaged,0.059118458,396,50
Bodycare,Packing,negative,broken,0.058930863,396,50
Bodycare,Packing,negative,received,0.045657377,396,50
Bodycare,Packing,negative,thick,0.041628195,396,50
Bodycare,Packing,negative,little,0.039544146,396,50
Bodycare,Packing,negative,spf,0.037409337,396,50
Bodycare,Packing,negative,opened,0.037159731,396,50
Bodycare,Packing,negative,sealed,0.035815291,396,50
Bodycare,Packing,negative,return,0.034883202,396,50
Bodycare,Packing,negative,horrible,0.033057649,396,50
Bodycare,Packing,negative,hard,0.030853139,396,50
Bodycare,Packing,negative,item,0.030583894,396,50
Bodycare,Packing,negative,delivery,0.029442173,396,50
Bodycare,Packing,negative,unfortunately,0.029140612,396,50
Bodycare,Packing,negative,difficult,0.024938912,396,50
Bodycare,Packing,negative,worst,0.024459278,396,50
Bodycare,Packing,negative,smell,0.024196315,396,50
Bodycare,Packing,negative,empty,0.024038255,396,50
Bodycare,Packing,negative,work,0.024005365,396,50
Bodycare,Packing,negative,works,0.02386892,396,50
Bodycare,Packing,negative,tube,0.023208566,396,50
Bodycare,Packing,negative,need,0.022737531,396,50
Bodycare,Packing,negative,recommend,0.022626485,396,50
Bodycare,Packing,negative,looks,0.022170561,396,50
Bodycare,Packing,negative,package,0.022045747,396,50
Bodycare,Packing,negative,packaging,0.02170066,396,50
Bodycare,Packing,negative,terrible,0.021687717,396,50
Bodycare,Packing,negative,open,0.020965717,396,50
Bodycare,Packing,negative,should,0.020156248,396,50
Bodycare,Packing,negative,greasy,0.020109621,396,50
Bodycare,Packing,negative,expensive,0.019916699,396,50
Bodycare,Packing,negative,rub,0.019295032,396,50
Bodycare,Packing,negative,burned,0.018804644,396,50
Bodycare,Packing,negative,look,0.018781085,396,50
Bodycare,Packing,negative,hours,0.018664845,396,50
Bodycare,Packing,negative,times,0.01836147,396,50
Bodycare,Packing,negative,long,0.018322709,396,50
Bodycare,Packing,negative,awful,0.017843824,396,50
Bodycare,Packing,negative,purchased,0.017747864,396,50
Bodycare,Packing,negative,burnt,0.017522025,396,50
Bodycare,Packing,negative,give,0.017347108,396,50
Bodycare,Packing,negative,provide,0.017004039,396,50
Bodycare,Packing,negative,date,0.016933923,396,50
Bodycare,Packing,negative,tried,0.016675182,396,50
Bodycare,Packing,negative,burn,0.016460367,396,50
Bodycare,Packing,negative,minutes,0.015485416,396,50
Bodycare,Packing,negative,brand,0.015019969,396,50
Bodycare,Packing,negative,powder,0.013091148,396,50
Bodycare,Packing,positive,protection,0.276014453,4830,50
Bodycare,Packing,positive,easy,0.06454319,4830,50
Bodycare,Packing,positive,used,0.058755645,4830,50
Bodycare,Packing,positive,greasy,0.051982235,4830,50
Bodycare,Packing,positive,delivery,0.050046184,4830,50
Bodycare,Packing,positive,smell,0.048919886,4830,50
Bodycare,Packing,positive,spf,0.044875056,4830,50
Bodycare,Packing,positive,works,0.040926444,4830,50
Bodycare,Packing,positive,scent,0.04005863,4830,50
Bodycare,Packing,positive,provides,0.039188211,4830,50
Bodycare,Packing,positive,sensitive,0.038474775,4830,50
Bodycare,Packing,positive,light,0.034819101,4830,50
Bodycare,Packing,positive,easily,0.033506562,4830,50
Bodycare,Packing,positive,perfect,0.032096969,4830,50
Bodycare,Packing,positive,need,0.031854656,4830,50
Bodycare,Packing,positive,little,0.029133669,4830,50
Bodycare,Packing,positive,sunscreens,0.028908682,4830,50
Bodycare,Packing,positive,gives,0.027933527,4830,50
Bodycare,Packing,positive,recommend,0.02634173,4830,50
Bodycare,Packing,positive,price,0.02593105,4830,50
Bodycare,Packing,positive,long,0.025564302,4830,50
Bodycare,Packing,positive,better,0.025266256,4830,50
Bodycare,Packing,positive,burn,0.024720674,4830,50
Bodycare,Packing,positive,zinc,0.02348094,4830,50
Bodycare,Packing,positive,thick,0.022607062,4830,50
Bodycare,Packing,positive,found,0.021401402,4830,50
Bodycare,Packing,positive,most,0.020544033,4830,50
Bodycare,Packing,positive,favorite,0.020376412,4830,50
Bodycare,Packing,positive,safe,0.020130505,4830,50
Bodycare,Packing,positive,rub,0.019831382,4830,50
Bodycare,Packing,positive,fair,0.019645177,4830,50
Bodycare,Packing,positive,kids,0.019462151,4830,50
Bodycare,Packing,positive,tried,0.019084755,4830,50
Bodycare,Packing,positive,hours,0.019007682,4830,50
Bodycare,Packing,positive,tan,0.018906898,4830,50
Bodycare,Packing,positive,highly,0.018496582,4830,50
Bodycare,Packing,positive,summer,0.018162909,4830,50
Bodycare,Packing,positive,happy,0.018115525,4830,50
Bodycare,Packing,positive,recommended,0.018082675,4830,50
Bodycare,Packing,positive,look,0.017969213,4830,50
Bodycare,Packing,positive,work,0.017641457,4830,50
Bodycare,Packing,positive,brand,0.017554332,4830,50
Bodycare,Packing,positive,definitely,0.017456197,4830,50
Bodycare,Packing,positive,makeup,0.016992611,4830,50
Bodycare,Packing,positive,lot,0.016964214,4830,50
Bodycare,Packing,positive,wear,0.016412271,4830,50
Bodycare,Packing,positive,want,0.016250522,4830,50
Bodycare,Packing,positive,mineral,0.015434968,4830,50
Bodycare,Packing,positive,reapply,0.015396064,4830,50
Bodycare,Packing,positive,ingredients,0.015357605,4830,50
Bodycare,Quality,negative,smell,0.065247066,2994,50
Bodycare,Quality,negative,used,0.064225601,2994,50
Bodycare,Quality,negative,oily,0.059780606,2994,50
Bodycare,Quality,negative,dry,0.057973597,2994,50
Bodycare,Quality,negative,burned,0.040433264,2994,50
Bodycare,Quality,negative,thick,0.040256752,2994,50
