category,tag,sentiment,topic_no,top_words
Haircare,Packaging,neutral,3,"Topic 3: bottle, hair, product, pump, conditioner, get, use, like, cap, thick"
Haircare,Packaging,neutral,4,"Topic 4: hair, color, shampoo, purple, blonde, use, product, red, yellow, el"
Haircare,Packaging,neutral,5,"Topic 5: bottle, product, shampoo, leaked, like, box, bottles, received, one, arrived"
Haircare,Packaging,negative,1,"Topic 1: hair, color, shampoo, use, product, like, conditioner, used, using, would"
Haircare,Packaging,negative,2,"Topic 2: bottle, product, like, shampoo, smell, conditioner, years, using, hair, used"
Haircare,Packaging,negative,3,"Topic 3: product, broken, bottle, cap, arrived, came, shampoo, leaking, return, received"
Haircare,Packaging,negative,4,"Topic 4: bottle, shampoo, product, leaked, disappointed, bottles, half, box, received, small"
Haircare,Packaging,negative,5,"Topic 5: bottle, product, shampoo, like, get, hair, thick, pump, conditioner, hard"
Haircare,Quality,positive,1,"Topic 1: hair, conditioner, shampoo, like, product, products, using, use, dry, good"
Haircare,Quality,positive,2,"Topic 2: hair, shampoo, use, scalp, wash, using, used, day, like, every"
Haircare,Quality,positive,3,"Topic 3: hair, soft, love, product, conditioner, great, use, dry, makes, shampoo"
Haircare,Quality,positive,4,"Topic 4: good, product, smells, price, great, hair, excellent, bottle, works, love"
Haircare,Quality,positive,5,"Topic 5: hair, shampoo, clean, scent, like, great, smell, love, well, really"
Haircare,Quality,neutral,1,"Topic 1: hair, use, conditioner, like, shampoo, dry, product, little, long, well"
Haircare,Quality,neutral,2,"Topic 2: product, bottle, shampoo, good, like, smell, one, used, hair, conditioner"
Haircare,Quality,neutral,3,"Topic 3: scalp, shampoo, like, dandruff, hair, smell, product, use, dry, skin"
Haircare,Quality,neutral,4,"Topic 4: hair, shampoo, conditioner, using, product, dry, used, use, products, like"
Haircare,Quality,neutral,5,"Topic 5: hair, soft, dry, product, makes, use, color, conditioner, shampoo, leaves"
Haircare,Quality,negative,1,"Topic 1: product, bad, bottle, hair, shampoo, like, good, one, color, amazon"
Haircare,Quality,negative,2,"Topic 2: shampoo, hair, product, used, conditioner, using, bar, like, use, disappointed"
Haircare,Quality,negative,3,"Topic 3: hair, dry, product, conditioner, like, shampoo, use, made, feel, used"
Haircare,Quality,negative,4,"Topic 4: scalp, hair, shampoo, using, dandruff, product, bad, dry, use, used"
Haircare,Quality,negative,5,"Topic 5: smell, bad, like, smells, good, hair, scent, product, shampoo, really"
Haircare,Packing,positive,1,"Topic 1: product, box, shampoo, love, came, top, plastic, bottle, sealed, wrapped"
Haircare,Packing,positive,2,"Topic 2: product, like, seal, used, box, shampoo, products, sealed, use, conditioner"
Haircare,Packing,positive,3,"Topic 3: hair, damaged, product, great, love, shampoo, use, conditioner, works, used"
Haircare,Packing,positive,4,"Topic 4: delivery, great, product, fast, price, quick, love, shampoo, thank, amazon"
Haircare,Packing,positive,5,"Topic 5: hair, shampoo, conditioner, damaged, love, use, like, really, products, great"
Haircare,Packing,neutral,1,"Topic 1: hair, product, damaged, shampoo, use, like, conditioner, used, using, really"
Haircare,Packing,neutral,2,"Topic 2: product, seal, box, amazon, years, time, conditioner, using, however, would"
Haircare,Packing,neutral,3,"Topic 3: product, box, shampoo, damaged, came, arrived, open, spilled, opened, seal"
Haircare,Packing,neutral,4,"Topic 4: seal, jar, products, safety, shampoo, coconut, come, conditioner, using, use"
Haircare,Packing,neutral,5,"Topic 5: hair, damaged, delivery, product, shampoo, like, using, would, dye, conditioner"
Haircare,Packing,negative,1,"Topic 1: hair, damaged, product, like, shampoo, used, conditioner, made, one, use"
Haircare,Packing,negative,2,"Topic 2: box, product, broken, shampoo, spilled, came, disappointed, opened, half, arrived"
Haircare,Packing,negative,3,"Topic 3: product, seal, hair, like, shampoo, use, sealed, smell, broken, would"
Haircare,Packing,negative,4,"Topic 4: hair, shampoo, damaged, buy, like, product, money, waste, amazon, box"
Haircare,Packing,negative,5,"Topic 5: product, plastic, damaged, use, shampoo, conditioner, hair, box, item, wrapped"
Makeup,Packaging,positive,1,"Topic 1: color, eyes, easy, use, mascara, eyeliner, product, lashes, like, eye"
Makeup,Packaging,positive,2,"Topic 2: color, love, great, lipstick, perfect, long, beautiful, favorite, find, stays"
Makeup,Packaging,positive,3,"Topic 3: color, like, lipstick, lips, lip, nice, really, pink, would, pretty"
Makeup,Packaging,positive,4,"Topic 4: colors, love, great, beautiful, palette, nice, eyeshadow, well, pigmented, eye"
Makeup,Packaging,positive,5,"Topic 5: one, product, color, skin, would, like, use, get, colors, look"
Makeup,Packaging,neutral,1,"Topic 1: color, el, colores, los, es, muy, que, de, se, la"
Makeup,Packaging,neutral,2,"Topic 2: product, lashes, use, bottle, mascara, get, brush, one, eyes, used"
Makeup,Packaging,neutral,3,"Topic 3: color, lipstick, product, lips, like, one, lip, used, would, even"
Makeup,Packaging,neutral,4,"Topic 4: color, like, long, black, love, day, dark, last, really, use"
Makeup,Packaging,neutral,5,"Topic 5: color, colors, like, pink, one, would, really, red, different, picture"
Makeup,Packaging,negative,1,"Topic 1: product, dried, cap, bottle, broken, color, disappointed, use, lipstick, used"
Makeup,Packaging,negative,2,"Topic 2: color, like, product, money, hard, get, mascara, waste, lashes, use"
Makeup,Packaging,negative,3,"Topic 3: colors, broken, product, one, disappointed, came, small, arrived, return, would"
Makeup,Packaging,negative,4,"Topic 4: color, colors, little, use, like, base, disappointed, lips, stay, lipstick"
Makeup,Packaging,negative,5,"Topic 5: color, like, colors, disappointed, lipstick, dark, wrong, pink, picture, looks"
Makeup,Quality,positive,1,"Topic 1: good, love, product, goes, smooth, great, price, color, smoothly, easy"
Makeup,Quality,positive,2,"Topic 2: color, lipstick, lips, like, lip, dry, love, matte, good, skin"
Makeup,Quality,positive,3,"Topic 3: eyeliner, like, liner, use, easy, get, good, really, brush, one"
Makeup,Quality,positive,4,"Topic 4: day, eye, color, eyes, good, colors, shadow, skin, use, eyeshadow"
Makeup,Quality,positive,5,"Topic 5: mascara, lashes, good, product, like, one, use, eyes, look, really"
Makeup,Quality,neutral,1,"Topic 1: color, lips, dry, lipstick, like, lip, long, little, really, look"
Makeup,Quality,neutral,2,"Topic 2: mascara, lashes, eyes, like, product, use, good, get, one, look"
Makeup,Quality,neutral,3,"Topic 3: product, dry, one, mascara, good, used, old, tube, money, time"
Makeup,Quality,neutral,4,"Topic 4: eyeliner, liner, eye, like, day, black, use, line, eyes, get"
Makeup,Quality,neutral,5,"Topic 5: colors, good, color, like, product, eyeshadow, one, would, shadow, bad"
Makeup,Quality,negative,1,"Topic 1: bad, product, eye, eyes, eyeliner, one, use, liner, like, used"
Makeup,Quality,negative,2,"Topic 2: dry, color, lips, like, apply, hard, product, lipstick, good, little"
Makeup,Quality,negative,3,"Topic 3: bad, quality, poor, color, like, lipstick, smell, really, good, colors"
Makeup,Quality,negative,4,"Topic 4: mascara, lashes, eyes, like, bad, day, product, get, even, good"
Makeup,Quality,negative,5,"Topic 5: product, dry, money, mascara, good, waste, disappointed, bad, use, one"
Makeup,Packing,positive,1,"Topic 1: delivery, product, great, fast, love, quick, price, came, perfect, happy"
Makeup,Packing,positive,2,"Topic 2: lipstick, box, like, color, palette, came, nice, bubble, shade, wrap"
Makeup,Packing,positive,3,"Topic 3: use, eyeliner, box, product, easy, one, love, like, great, day"
Makeup,Packing,positive,4,"Topic 4: product, box, sealed, came, damaged, used, opened, one, arrived, like"
Makeup,Packing,positive,5,"Topic 5: mascara, lashes, product, really, one, like, use, lash, look, box"
Makeup,Packing,neutral,1,"Topic 1: product, eye, unsealed, sealed, used, like, eyeliner, buy, get, mascara"
Makeup,Packing,neutral,2,"Topic 2: box, product, one, like, broken, received, got, came, ordered, two"
Makeup,Packing,neutral,3,"Topic 3: product, damaged, box, came, arrived, used, sealed, seal, opened, lipstick"
Makeup,Packing,neutral,4,"Topic 4: mascara, lashes, delivery, like, product, one, eyes, use, brush, look"
Makeup,Packing,neutral,5,"Topic 5: lashes, product, using, lash, damaged, use, eye, would, long, serum"
Makeup,Packing,negative,1,"Topic 1: broken, seal, used, box, product, came, opened, item, damaged, received"
Makeup,Packing,negative,2,"Topic 2: product, box, sealed, disappointed, opened, lipstick, used, damaged, like, arrived"
Makeup,Packing,negative,3,"Topic 3: box, broken, disappointed, like, product, eye, mascara, one, bubble, wrap"
Makeup,Packing,negative,4,"Topic 4: product, mascara, box, damaged, empty, came, sealed, dried, brush, tube"
Makeup,Packing,negative,5,"Topic 5: damaged, arrived, product, money, waste, mascara, use, disappointed, like, lashes"
Skincare,Packaging,positive,1,"Topic 1: oil, use, bottle, skin, like, hair, also, oils, great, scent"
Skincare,Packaging,positive,2,"Topic 2: product, bottle, one, like, amazon, received, leaked, bottles, box, love"
Skincare,Packaging,positive,3,"Topic 3: color, love, great, lip, like, nice, lips, balm, colors, moisturizing"
Skincare,Packaging,positive,4,"Topic 4: bottle, soap, scent, great, love, bottles, like, lotion, pump, smell"
Skincare,Packaging,positive,5,"Topic 5: skin, bottle, product, face, use, using, serum, love, like, great"
Skincare,Packaging,neutral,1,"Topic 1: skin, product, bottle, use, face, using, used, like, serum, one"
Skincare,Packaging,neutral,2,"Topic 2: product, like, bottle, smell, oil, color, different, one, label, amazon"
Skincare,Packaging,neutral,3,"Topic 3: color, hair, lips, lip, balm, cream, pink, white, use, tube"
Skincare,Packaging,neutral,4,"Topic 4: bottle, product, bottles, one, pump, leaked, cap, box, received, lotion"
Skincare,Packaging,neutral,5,"Topic 5: bottle, like, soap, scent, little, use, long, smell, small, get"
Skincare,Packaging,negative,1,"Topic 1: skin, like, color, face, bottle, use, using, product, little, used"
Skincare,Packaging,negative,2,"Topic 2: product, like, color, bottle, smell, disappointed, one, label, smells, different"
Skincare,Packaging,negative,3,"Topic 3: bottle, product, broken, leaked, cap, box, bottles, arrived, came, leaking"
Skincare,Packaging,negative,4,"Topic 4: bottle, soap, bottles, pump, one, use, product, time, work, would"
Skincare,Packaging,negative,5,"Topic 5: bottle, product, small, like, get, lotion, thick, price, hard, smell"
Skincare,Quality,positive,1,"Topic 1: skin, oil, product, like, mask, using, use, used, try, would"
Skincare,Quality,positive,2,"Topic 2: good, product, price, lips, one, excellent, great, lip, like, love"
Skincare,Quality,positive,3,"Topic 3: skin, soap, scent, love, good, smell, smells, like, great, soft"
Skincare,Quality,positive,4,"Topic 4: face, use, hair, clean, cleanser, makeup, great, like, wash, good"
Skincare,Quality,positive,5,"Topic 5: skin, product, face, use, dry, using, moisturizer, love, cream, great"
Skincare,Quality,neutral,1,"Topic 1: skin, product, using, face, use, used, acne, products, day, serum"
Skincare,Quality,neutral,2,"Topic 2: product, like, hair, smell, good, one, bad, lips, scent, smells"
Skincare,Quality,neutral,3,"Topic 3: skin, face, like, dry, use, product, feel, little, really, oily"
Skincare,Quality,neutral,4,"Topic 4: skin, dry, lotion, use, soft, hands, cream, like, product, really"
Skincare,Quality,neutral,5,"Topic 5: soap, use, like, bar, get, one, well, wash, clean, water"
Skincare,Quality,negative,1,"Topic 1: product, good, bottle, bad, one, poor, disappointed, quality, pump, amazon"
Skincare,Quality,negative,2,"Topic 2: lips, dry, hair, product, lip, use, get, bad, balm, day"
Skincare,Quality,negative,3,"Topic 3: skin, face, product, bad, using, use, dry, like, used, acne"
Skincare,Quality,negative,4,"Topic 4: skin, dry, like, use, soap, hands, lotion, little, well, feel"
Skincare,Quality,negative,5,"Topic 5: bad, smell, like, smells, product, scent, soap, good, really, buy"
Skincare,Packing,positive,1,"Topic 1: skin, protection, use, face, like, product, sun, great, using, moisturizer"
Skincare,Packing,positive,2,"Topic 2: product, box, sealed, seal, came, damaged, like, arrived, one, love"
Skincare,Packing,positive,3,"Topic 3: box, love, one, use, mask, got, get, amazon, product, time"
Skincare,Packing,positive,4,"Topic 4: delivery, great, product, fast, love, quick, price, lip, thank, balm"
Skincare,Packing,positive,5,"Topic 5: soap, box, scent, like, smell, nice, wrapped, gift, great, soaps"
Skincare,Packing,neutral,1,"Topic 1: product, box, seal, damaged, came, sealed, opened, arrived, like, open"
Skincare,Packing,neutral,2,"Topic 2: skin, product, use, like, protection, face, using, sun, used, really"
Skincare,Packing,neutral,3,"Topic 3: soap, box, like, smell, scent, bar, would, one, wrapped, bars"
Skincare,Packing,neutral,4,"Topic 4: product, box, delivery, one, time, received, ordered, order, amazon, two"
Skincare,Packing,neutral,5,"Topic 5: soap, scent, box, boxes, smell, butter, bars, bar, delivery, shea"
